[2024-12-29T08:36:14.975+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300235
[2024-12-29T08:36:15.252+0000] {logging_mixin.py:150} INFO - Game 0042300235 processed successfully.
[2024-12-29T08:36:15.252+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300215
[2024-12-29T08:36:15.527+0000] {logging_mixin.py:150} INFO - Game 0042300215 processed successfully.
[2024-12-29T08:36:15.528+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300215
[2024-12-29T08:36:15.626+0000] {logging_mixin.py:150} INFO - Game 0042300215 processed successfully.
[2024-12-29T08:36:15.626+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300235
[2024-12-29T08:36:15.719+0000] {logging_mixin.py:150} INFO - Game 0042300235 processed successfully.
[2024-12-29T08:36:15.720+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300224
[2024-12-29T08:36:16.128+0000] {logging_mixin.py:150} INFO - Game 0042300224 processed successfully.
[2024-12-29T08:36:16.129+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300224
[2024-12-29T08:36:16.251+0000] {logging_mixin.py:150} INFO - Game 0042300224 processed successfully.
[2024-12-29T08:36:16.251+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300204
[2024-12-29T08:36:16.695+0000] {logging_mixin.py:150} INFO - Game 0042300204 processed successfully.
[2024-12-29T08:36:16.696+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300204
[2024-12-29T08:36:16.816+0000] {logging_mixin.py:150} INFO - Game 0042300204 processed successfully.
[2024-12-29T08:36:16.823+0000] {logging_mixin.py:150} INFO - Up to 50 game data for season 2023-24 have been sent to 'games' topic in Kafka.
[2024-12-29T08:36:16.826+0000] {python.py:183} INFO - Done. Returned value was: None
[2024-12-29T08:36:16.838+0000] {taskinstance.py:1350} INFO - Marking task as SUCCESS. dag_id=fetch_and_process_games, task_id=fetch_and_process_games_task, execution_date=20241229T083601, start_date=20241229T083602, end_date=20241229T083616
[2024-12-29T08:36:16.895+0000] {local_task_job_runner.py:225} INFO - Task exited with return code 0
[2024-12-29T08:36:16.910+0000] {taskinstance.py:2653} INFO - 0 downstream tasks scheduled from follow-on schedule check
